Assembly_Num,Id,Party,Speaker_Type,Primary_Role,Speech_Count,Total_Chars,First_Speech_Date,Keyword_Total,Boundary_Per_1k_Chars
제2대,백한성,미상/직책자,정부/기타 직책자,내무부장관,29,35634,1953-09-26,2,0.028
제2대,윤담,대한독립촉성국민회,의원,의원,6,4746,1950-11-20,2,0.421
제2대,구을회,무소속,의원,의원,19,12009,1950-06-20,2,0.167
제2대,김명수,민주국민당,의원,의원,4,9144,1950-11-25,2,0.219
제2대,정남상,미상/직책자,정부/기타 직책자,의원,1,1960,1953-07-13,2,0.0
제2대,이선교,미상/직책자,정부/기타 직책자,전문위원,1,9360,1950-11-04,2,0.0
제2대,정준모,미상/직책자,정부/기타 직책자,보건부차관,7,15601,1952-11-15,2,0.0
제2대,주석균,미상/직책자,정부/기타 직책자,농림부차관,6,9522,1950-11-10,2,0.0
제2대,민영복,무소속,의원,의원,23,16166,1950-11-18,2,0.062
제2대,김익로,미상/직책자,정부/기타 직책자,의원,56,29108,1950-11-11,2,0.069
제2대,이기붕,미상/직책자,정부/기타 직책자,국방부장관,7,8617,1951-05-17,2,0.232
제2대,최헌길,대한국민당,의원,의원,53,42929,1950-10-31,2,0.0
제2대,이시목,무소속,의원,의원,7,13723,1951-09-03,2,0.073
제2대,이범승,무소속,의원,의원,22,21820,1952-02-14,2,0.0
제2대,조정훈,무소속,의원,의원,4,14254,1950-12-15,2,0.07
제2대,업상섭,미상/직책자,정부/기타 직책자,법제사법위원장대리,6,3389,1951-05-15,2,0.59
제2대,함덕용,미상/직책자,정부/기타 직책자,상공부차관,1,3485,1952-11-07,2,0.0
제2대,이병호,미상/직책자,정부/기타 직책자,상공부차관,18,18410,1951-10-05,1,0.0
제2대,김석명,미상/직책자,정부/기타 직책자,교통부차관,14,8376,1951-08-04,1,0.119
제2대,진헌식,미상/직책자,정부/기타 직책자,내무부장관,6,9176,1952-09-03,1,0.0
제2대,김인선,애국단체연합회,의원,의원,17,16160,1951-02-14,1,0.0
제2대,이순용,미상/직책자,정부/기타 직책자,내무부장관,14,14420,1951-05-19,1,0.0
제2대,서장주,무소속,의원,의원,2,3506,1951-03-28,1,0.285
제2대,이종영,대한독립촉성국민회,의원,의원,21,16483,1950-06-20,1,0.061
제2대,강창용,무소속,의원,의원,16,16085,1950-11-04,1,0.0
제2대,조대연,무소속,의원,의원,6,13858,1950-10-31,1,0.0
제2대,여영복,무소속,의원,의원,8,3219,1950-11-24,1,0.311
제2대,이종순,무소속,의원,의원,11,8028,1950-11-25,1,0.0
제2대,최원수,무소속,의원,의원,8,7784,1953-04-10,1,0.0
제2대,성득환,민주국민당,의원,의원,8,2629,1950-11-03,1,0.0
제2대,갈홍기,미상/직책자,정부/기타 직책자,외무부차관,3,3094,1952-08-29,1,0.323
제2대,미국상원,미상/직책자,정부/기타 직책자,의원,2,3883,1951-12-06,1,0.0
제2대,이수선,미상/직책자,정부/기타 직책자,사무총장,6,2685,1950-06-19,1,0.372
제2대,한필수,무소속,의원,의원,8,8632,1951-03-23,1,0.0
제2대,안동혁,미상/직책자,정부/기타 직책자,상공부장관,12,26720,1953-10-14,1,0.0
제2대,이판열,민주국민당,의원,의원,4,6016,1950-11-08,1,0.0
제2대,정재환,미상/직책자,정부/기타 직책자,법무부차관,7,6780,1952-06-21,1,0.147
제2대,김우평,미상/직책자,정부/기타 직책자,외자구매처장,2,5872,1951-01-29,0,0.0
제2대,김상현,무소속,의원,의원,2,4823,1951-07-10,0,0.0
제2대,서상호,무소속,의원,의원,1,2064,1952-11-27,0,0.0
제2대,변태영,미상/직책자,정부/기타 직책자,외무부장관,1,1860,1951-07-05,0,0.0
