Assembly_Num,Session_No,Party,Technology,Income,Labor,Immigration,Migration,Foreigner,Total_Chars,Speech_Count,Distinct_Speakers,Start_Date,Dev,Bnd,Technology_1k,Income_1k,Labor_1k,Immigration_1k,Migration_1k,Foreigner_1k,Id
제헌,3,조선공화당,0,0,0,0,0,0,29237,143,1,1949-05-24,0,0,0.0,0.0,0.0,0.0,0.0,0.0,제헌-S003|조선공화당
제헌,3,조선민족청년단,0,0,0,0,0,0,19824,25,3,1949-05-23,0,0,0.0,0.0,0.0,0.0,0.0,0.0,제헌-S003|조선민족청년단
제헌,3,단민당,0,0,0,0,1,0,7057,13,1,1949-05-25,0,1,0.0,0.0,0.0,0.0,0.14170327334561428,0.0,제헌-S003|단민당
제헌,3,대동청년당,0,0,1,1,2,0,24924,40,8,1949-05-23,1,3,0.0,0.0,0.04012197079120526,0.04012197079120526,0.08024394158241052,0.0,제헌-S003|대동청년당
제헌,3,무소속,8,0,2,27,10,0,334285,492,58,1949-05-23,10,37,0.02393167506768177,0.0,0.005982918766920442,0.08076940335342597,0.02991459383460221,0.0,제헌-S003|무소속
제헌,3,교육협회,0,0,0,0,0,0,2428,3,1,1949-06-14,0,0,0.0,0.0,0.0,0.0,0.0,0.0,제헌-S003|교육협회
제헌,3,한국민주당,1,24,2,5,2,0,144417,353,16,1949-05-23,27,7,0.006924392557662879,0.16618542138390907,0.013848785115325758,0.0346219627883144,0.013848785115325758,0.0,제헌-S003|한국민주당
제헌,4,전도회,0,0,0,1,2,0,3913,12,1,1949-07-06,0,3,0.0,0.0,0.0,0.2555583950932788,0.5111167901865576,0.0,제헌-S004|전도회
제헌,4,교육협회,0,0,0,0,4,0,4285,6,1,1949-07-21,0,4,0.0,0.0,0.0,0.0,0.9334889148191365,0.0,제헌-S004|교육협회
제헌,4,한국민주당,18,220,1,6,32,0,236519,739,22,1949-07-02,239,38,0.07610382252588588,0.9301578308719385,0.004227990140326993,0.025367940841961954,0.13529568449046378,0.0,제헌-S004|한국민주당
제헌,4,대한노동총연맹,0,0,68,2,0,0,11511,12,1,1949-07-15,68,2,0.0,0.0,5.907392928503171,0.17374685083832855,0.0,0.0,제헌-S004|대한노동총연맹
제헌,4,민족통일본부,2,0,0,1,0,0,9521,10,1,1949-07-06,2,1,0.21006196828064277,0.0,0.0,0.10503098414032139,0.0,0.0,제헌-S004|민족통일본부
제헌,4,조선민족청년단,3,0,0,0,0,0,20052,25,1,1949-07-09,3,0,0.14961101137043686,0.0,0.0,0.0,0.0,0.0,제헌-S004|조선민족청년단
제헌,4,무소속,46,16,15,21,64,0,203385,373,54,1949-07-02,77,85,0.22617203825257517,0.07866853504437397,0.0737517516041006,0.10325245224574084,0.3146741401774959,0.0,제헌-S004|무소속
제헌,4,대한독립촉성국민회,7,300,5,2,21,1,156749,400,30,1949-07-01,312,24,0.044657382184256356,1.9138878078967012,0.031898130131611684,0.012759252052644674,0.13397214655276907,0.006379626026322337,제헌-S004|대한독립촉성국민회
제헌,4,조선민주당,0,0,0,2,0,0,3605,2,1,1949-07-09,0,2,0.0,0.0,0.0,0.5547850208044383,0.0,0.0,제헌-S004|조선민주당
