Assembly_Num,Speaker,Party,Speaker_Type,Primary_Role,Role_Groups,Speaker_Source,Speech_Count,Total_Chars,Share_of_Chars,Active_Sessions,First_Speech_Date,Last_Speech_Date,Technology,Income,Labor,Immigration,Migration,Foreigner,Discourse_Development,Discourse_Boundary,Keyword_Total,Development_Per_1k_Chars,Boundary_Per_1k_Chars,Keyword_Per_1k_Chars
제2대,지청천,민주국민당,의원,전원위원장,위원장; 의원,member,49,25200,0.00122,7,1950-11-02,1953-06-13,0,0,3,1,0,0,3,1,4,0.119,0.04,0.159
제2대,이병홍,무소속,의원,의원,의원,member,12,24809,0.0012,2,1951-07-11,1953-04-30,0,0,0,1,3,0,0,4,4,0.0,0.161,0.161
제2대,이상철,무소속,의원,의원,위원장; 의원,member,22,25364,0.00123,7,1950-10-31,1953-10-20,0,0,0,1,3,0,0,4,4,0.0,0.158,0.158
제2대,이철원,미상/직책자,정부/기타 직책자,공보처장,기타,learned,4,24270,0.00118,3,1951-11-10,1952-11-07,0,0,0,1,2,1,0,4,4,0.0,0.165,0.165
제2대,김태희,무소속,의원,교통체신위원장대리,위원장; 의원,member,10,17849,0.00087,6,1951-04-30,1954-03-31,2,0,2,0,0,0,4,0,4,0.224,0.0,0.224
제2대,김용화,대한국민당,의원,의원,의원,member,8,13824,0.00067,4,1951-07-10,1953-12-26,0,0,1,1,2,0,1,3,4,0.072,0.217,0.289
제2대,신태영,미상/직책자,정부/기타 직책자,국방부장관,국무위원,learned,21,26129,0.00127,3,1952-04-03,1953-03-30,1,0,0,0,2,0,1,2,3,0.038,0.077,0.115
제2대,이동환,무소속,의원,의원,의원,member,12,11908,0.00058,4,1950-11-07,1952-04-17,2,1,0,0,0,0,3,0,3,0.252,0.0,0.252
제2대,곽태진,민주국민당,의원,의원,의원,member,14,8529,0.00041,4,1950-11-18,1952-01-21,0,0,0,3,0,0,0,3,3,0.0,0.352,0.352
제2대,류홍,대한독립촉성국민회,의원,위원,의원,member,3,5806,0.00028,1,1952-07-03,1952-07-04,0,0,0,2,0,1,0,3,3,0.0,0.517,0.517
제2대,신성모,미상/직책자,정부/기타 직책자,국방부장관,국무위원,learned,3,9911,0.00048,1,1951-01-26,1951-01-26,0,0,0,1,2,0,0,3,3,0.0,0.303,0.303
제2대,김형덕,무소속,의원,의원,위원장; 의원,member,13,14686,0.00071,6,1950-11-01,1953-10-12,3,0,0,0,0,0,3,0,3,0.204,0.0,0.204
제2대,장석윤,미상/직책자,정부/기타 직책자,내무부장관,국무위원,member,10,17413,0.00084,1,1952-01-22,1952-04-17,0,0,0,1,1,1,0,3,3,0.0,0.172,0.172
제2대,윤영선,민주국민당,의원,의원,국무위원; 의원,member,11,11593,0.00056,5,1950-11-18,1952-08-28,0,1,1,1,0,0,2,1,3,0.173,0.086,0.259
제2대,박팔봉,무소속,의원,의원,의원,member,1,2155,0.0001,1,1951-07-14,1951-07-14,0,0,0,0,2,1,0,3,3,0.0,1.392,1.392
제2대,강직순,미상/직책자,정부/기타 직책자,체신부차관,국무위원,learned,8,9501,0.00046,2,1951-03-31,1951-11-02,2,0,0,0,1,0,2,1,3,0.211,0.105,0.316
제2대,김정기,무소속,의원,의원,의원,member,8,5848,0.00028,3,1950-11-01,1954-03-30,0,0,0,3,0,0,0,3,3,0.0,0.513,0.513
제2대,이도영,무소속,의원,의원,의원,member,9,10099,0.00049,5,1951-09-04,1954-02-25,2,0,1,0,0,0,3,0,3,0.297,0.0,0.297
제2대,김법린,미상/직책자,정부/기타 직책자,문교부장관,국무위원,member,16,27147,0.00132,4,1952-11-04,1953-12-26,2,0,0,1,0,0,2,1,3,0.074,0.037,0.111
제2대,배은희,대한국민당,의원,의원,위원장; 의원,member,24,22500,0.00109,7,1951-04-29,1954-03-31,0,0,0,1,2,0,0,3,3,0.0,0.133,0.133
제2대,이갑성,무소속,의원,의원,의원,member,15,6802,0.00033,7,1950-12-16,1954-03-31,2,0,0,0,1,0,2,1,3,0.294,0.147,0.441
제2대,김판석,대한청년단,의원,의원,의원,member,13,9297,0.00045,4,1950-11-07,1953-02-19,0,0,0,0,0,3,0,3,3,0.0,0.323,0.323
제2대,강인택,미상/직책자,정부/기타 직책자,체신부장관,국무위원,fallback,2,3572,0.00017,2,1952-10-16,1953-09-29,0,0,0,1,1,0,0,2,2,0.0,0.56,0.56
제2대,서상덕,대한청년단,의원,의원,위원장; 의원,member,31,38919,0.00189,9,1950-11-22,1954-03-31,0,0,2,0,0,0,2,0,2,0.051,0.0,0.051
제2대,백한성,미상/직책자,정부/기타 직책자,내무부장관,국무위원,learned,29,35634,0.00173,3,1953-09-26,1954-03-31,0,1,0,1,0,0,1,1,2,0.028,0.028,0.056
제2대,윤담,대한독립촉성국민회,의원,의원,의원,member,6,4746,0.00023,5,1950-11-20,1953-04-28,0,0,0,0,2,0,0,2,2,0.0,0.421,0.421
제2대,구을회,무소속,의원,의원,의원,member,19,12009,0.00058,6,1950-06-20,1953-10-12,0,0,0,2,0,0,0,2,2,0.0,0.167,0.167
제2대,김명수,민주국민당,의원,의원,의원,member,4,9144,0.00044,3,1950-11-25,1952-11-27,0,0,0,0,2,0,0,2,2,0.0,0.219,0.219
제2대,정남상,미상/직책자,정부/기타 직책자,의원,의원,fallback,1,1960,0.0001,1,1953-07-13,1953-07-13,2,0,0,0,0,0,2,0,2,1.02,0.0,1.02
제2대,이선교,미상/직책자,정부/기타 직책자,전문위원,의원,fallback,1,9360,0.00045,1,1950-11-04,1950-11-04,1,0,1,0,0,0,2,0,2,0.214,0.0,0.214
제2대,정준모,미상/직책자,정부/기타 직책자,보건부차관,국무위원,member,7,15601,0.00076,3,1952-11-15,1954-01-08,2,0,0,0,0,0,2,0,2,0.128,0.0,0.128
제2대,주석균,미상/직책자,정부/기타 직책자,농림부차관,국무위원,learned,6,9522,0.00046,1,1950-11-10,1950-11-25,1,0,1,0,0,0,2,0,2,0.21,0.0,0.21
제2대,민영복,무소속,의원,의원,의원,member,23,16166,0.00078,5,1950-11-18,1952-02-29,1,0,0,0,1,0,1,1,2,0.062,0.062,0.124
제2대,김익로,미상/직책자,정부/기타 직책자,의원,위원장; 의원,learned,56,29108,0.00141,9,1950-11-11,1953-12-01,0,0,0,1,1,0,0,2,2,0.0,0.069,0.069
제2대,이기붕,미상/직책자,정부/기타 직책자,국방부장관,국무위원,member,7,8617,0.00042,3,1951-05-17,1952-01-23,0,0,0,1,1,0,0,2,2,0.0,0.232,0.232
제2대,최헌길,대한국민당,의원,의원,의원,member,53,42929,0.00208,9,1950-10-31,1954-01-06,2,0,0,0,0,0,2,0,2,0.047,0.0,0.047
