Assembly_Num,Role_Group,Speaker,Technology,Income,Labor,Immigration,Migration,Foreigner,Discourse_Development,Discourse_Boundary,Keyword_Total,Speech_Count,Total_Chars,Primary_Role,Keyword_Per_1k_Chars,Development_Per_1k_Chars,Boundary_Per_1k_Chars,Share_of_Chars
제헌,의원,박유경,0,0,0,0,0,0,0,0,0,1,274,의원,0.0,0.0,0.0,0.00011
제헌,국무위원,임병직,0,0,0,0,0,0,0,0,0,7,7663,외무부장관,0.0,0.0,0.0,0.00304
제헌,의원,원용환,0,0,0,0,0,0,0,0,0,1,6,의원,0.0,0.0,0.0,0.0
제헌,의원,빅헤정,0,0,0,0,0,0,0,0,0,1,1174,의원,0.0,0.0,0.0,0.00047
제헌,의원,류래완,0,0,0,0,0,0,0,0,0,10,1528,의원,0.0,0.0,0.0,0.00061
제헌,위원장,이청천,0,0,0,0,0,0,0,0,0,1,255,전원위원장,0.0,0.0,0.0,0.0001
제헌,의장단,신익회,0,0,0,0,0,0,0,0,0,1,81,의장,0.0,0.0,0.0,0.00003
제헌,의원,미국상원,0,0,0,0,0,0,0,0,0,1,2081,의원,0.0,0.0,0.0,0.00083
제헌,기타,김익진,0,0,0,0,0,0,0,0,0,2,1210,검찰총장,0.0,0.0,0.0,0.00048
제헌,의원,겸경도,0,0,0,0,0,0,0,0,0,1,889,의원,0.0,0.0,0.0,0.00035
제헌,의원,김병주,0,0,0,0,0,0,0,0,0,3,696,의원,0.0,0.0,0.0,0.00028
제헌,의원,조현영,0,0,0,0,0,0,0,0,0,1,2016,의원,0.0,0.0,0.0,0.0008
제헌,의장단,이승만원,0,0,0,0,0,0,0,0,0,1,225,의장,0.0,0.0,0.0,0.00009
제헌,의원,김준영,0,0,0,0,0,0,0,0,0,1,6,의원,0.0,0.0,0.0,0.0
제헌,의원,초운교,0,0,0,0,0,0,0,0,0,1,840,의원,0.0,0.0,0.0,0.00033
제헌,정부위원,박현욱,0,0,0,0,0,0,0,0,0,1,37,총무국장,0.0,0.0,0.0,0.00001
제헌,의원,베중혁,0,0,0,0,0,0,0,0,0,2,34,의원,0.0,0.0,0.0,0.00001
제헌,기타,김순탁,0,0,0,0,0,0,0,0,0,1,2072,기획처장,0.0,0.0,0.0,0.00082
제헌,국무위원,황희찬,0,0,0,0,0,0,0,0,0,7,4593,내무부차관,0.0,0.0,0.0,0.00182
제헌,의원,깁봉조,0,0,0,0,0,0,0,0,0,1,15,의원,0.0,0.0,0.0,0.00001
제헌,의원,고병국,0,0,0,0,0,0,0,0,0,3,2206,전문위원,0.0,0.0,0.0,0.00088
제헌,의원,지대형,0,0,0,0,0,0,0,0,0,7,1648,의원,0.0,0.0,0.0,0.00065
제헌,의원,황호연,0,0,0,0,0,0,0,0,0,1,238,의원,0.0,0.0,0.0,0.00009
제헌,국무위원,김홍진,0,0,0,0,0,0,0,0,0,2,352,재무부차관대리,0.0,0.0,0.0,0.00014
제헌,정부위원,백남칠,0,0,0,0,0,0,0,0,0,2,5922,관재총국장,0.0,0.0,0.0,0.00235
제헌,위원장,의장은,0,0,0,0,0,0,0,0,0,2,264,내무치안위원장,0.0,0.0,0.0,0.0001
제헌,의원,빅순석,0,0,0,0,0,0,0,0,0,5,4039,의원,0.0,0.0,0.0,0.0016
제헌,의원,박희병,0,0,0,0,0,0,0,0,0,2,1827,전문위원,0.0,0.0,0.0,0.00073
제헌,의원,이택관,0,0,0,0,0,0,0,0,0,1,6,의원,0.0,0.0,0.0,0.0
제헌,기타,김형원,0,0,0,0,0,0,0,0,0,3,6852,공보처차장,0.0,0.0,0.0,0.00272
제헌,위원장,역시,0,0,0,0,0,0,0,0,0,2,1366,내무치안위원장,0.0,0.0,0.0,0.00054
제헌,의원,권태의,0,0,0,0,0,0,0,0,0,1,489,의원,0.0,0.0,0.0,0.00019
제헌,의원,깁병회,0,0,0,0,0,0,0,0,0,1,6,의원,0.0,0.0,0.0,0.0
제헌,기타,노용호,0,0,0,0,0,0,0,0,0,3,1641,사무차장,0.0,0.0,0.0,0.00065
제헌,의원,뱍해극,0,0,0,0,0,0,0,0,0,1,1480,의원,0.0,0.0,0.0,0.00059
제헌,의원,이석화,0,0,0,0,0,0,0,0,0,1,6,의원,0.0,0.0,0.0,0.0
제헌,정부위원,차인홍,0,0,0,0,0,0,0,0,0,1,808,의사국장,0.0,0.0,0.0,0.00032
제헌,의원,권병로,0,0,0,0,0,0,0,0,0,8,5518,의원,0.0,0.0,0.0,0.00219
제헌,정부위원,이순탁,0,0,0,0,0,0,0,0,0,1,1836,정부위원,0.0,0.0,0.0,0.00073
제헌,의원,최운규,0,0,0,0,0,0,0,0,0,1,6,의원,0.0,0.0,0.0,0.0
제헌,의원,김만선,0,0,0,0,0,0,0,0,0,1,6,의원,0.0,0.0,0.0,0.0
제헌,의장단,윤칭영,0,0,0,0,0,0,0,0,0,1,412,부의장,0.0,0.0,0.0,0.00016
제헌,의장단,윤도영,0,0,0,0,0,0,0,0,0,1,56,부의장,0.0,0.0,0.0,0.00002
제헌,의원,홍순녕,0,0,0,0,0,0,0,0,0,2,135,의원,0.0,0.0,0.0,0.00005
제헌,의원,류준상,0,0,0,0,0,0,0,0,0,2,420,의원,0.0,0.0,0.0,0.00017
제헌,의원,보헌영,0,0,0,0,0,0,0,0,0,1,512,의원,0.0,0.0,0.0,0.0002
제헌,정부위원,최윤전,0,0,0,0,0,0,0,0,0,1,454,의사국장,0.0,0.0,0.0,0.00018
제헌,의원,김병희,0,0,0,0,0,0,0,0,0,1,7,의원,0.0,0.0,0.0,0.0
제헌,국무위원,한통숙,0,0,0,0,0,0,0,0,0,2,4677,상공부차관,0.0,0.0,0.0,0.00186
제헌,의장단,유치영,0,0,0,0,0,0,0,0,0,1,136,부의장,0.0,0.0,0.0,0.00005
제헌,정부위원,권승렬,0,0,0,0,0,0,0,0,0,3,5290,정부위원,0.0,0.0,0.0,0.0021
제헌,의원,박경우,0,0,0,0,0,0,0,0,0,1,7,의원,0.0,0.0,0.0,0.0
제헌,의장단,운치영,0,0,0,0,0,0,0,0,0,1,101,부의장,0.0,0.0,0.0,0.00004
제헌,기타,전유성,0,0,0,0,0,0,0,0,0,1,898,총무처장,0.0,0.0,0.0,0.00036
제헌,국무위원,구영숙,0,0,0,0,0,0,0,0,0,1,600,보건부장관,0.0,0.0,0.0,0.00024
제헌,의장단,긴익희,0,0,0,0,0,0,0,0,0,1,7,의장,0.0,0.0,0.0,0.0
제헌,의원,김덕렬,0,0,0,0,0,0,0,0,0,5,1475,의원,0.0,0.0,0.0,0.00059
제헌,의장단,김동언,0,0,0,0,0,0,0,0,0,1,12,부의장,0.0,0.0,0.0,0.0
