Month,전체,발전,경계,발전+경계,미분류,Date,발전_전체대비비중,경계_전체대비비중,발전+경계_전체대비비중
1950-02,6955,452.0,57.0,23.0,6423,1950-02-01,6.498921639108556,0.8195542774982026,0.33069734004313445
1950-03,10108,772.0,49.0,34.0,9253,1950-03-01,7.6375148397309065,0.48476454293628807,0.33636723387415907
1950-04,11862,1059.0,36.0,19.0,10748,1950-04-01,8.92766818411735,0.30349013657056145,0.16017534985668522
1950-06,2104,52.0,15.0,4.0,2033,1950-06-01,2.4714828897338403,0.7129277566539924,0.19011406844106463
1950-10,86,8.0,1.0,3.0,74,1950-10-01,9.30232558139535,1.1627906976744187,3.488372093023256
1950-11,7967,445.0,65.0,34.0,7423,1950-11-01,5.585540353960085,0.8158654449604619,0.4267603865947031
1950-12,1603,47.0,30.0,6.0,1520,1950-12-01,2.9320024953212727,1.8714909544603868,0.37429819089207733
1951-01,1679,182.0,37.0,22.0,1438,1951-01-01,10.839785586658724,2.20369267421084,1.3103037522334724
1951-02,2771,225.0,52.0,35.0,2459,1951-02-01,8.11981234211476,1.8765788523998554,1.2630819198845182
1951-03,6587,948.0,34.0,50.0,5555,1951-03-01,14.391984211325337,0.5161682101108244,0.7590708972218005
1951-04,6992,979.0,13.0,49.0,5951,1951-04-01,14.001716247139587,0.1859267734553776,0.7008009153318078
1951-05,7226,317.0,52.0,27.0,6830,1951-05-01,4.386936064212565,0.7196235815112095,0.3736507057846665
1951-06,2270,238.0,17.0,14.0,2001,1951-06-01,10.484581497797357,0.7488986784140969,0.6167400881057269
1951-07,5052,195.0,33.0,35.0,4789,1951-07-01,3.859857482185273,0.6532066508313539,0.6927949326999208
1951-08,4436,430.0,20.0,23.0,3963,1951-08-01,9.69341749323715,0.4508566275924256,0.5184851217312894
1951-09,2800,358.0,14.0,17.0,2411,1951-09-01,12.785714285714286,0.5,0.6071428571428571
1951-10,2880,233.0,42.0,37.0,2568,1951-10-01,8.090277777777779,1.4583333333333333,1.284722222222222
1951-11,5196,414.0,16.0,36.0,4730,1951-11-01,7.967667436489608,0.30792917628945343,0.6928406466512702
1951-12,10868,535.0,24.0,29.0,10280,1951-12-01,4.922708870077291,0.22083179977916823,0.2668384247331616
1952-01,1216,108.0,7.0,10.0,1091,1952-01-01,8.881578947368421,0.575657894736842,0.8223684210526315
1952-02,1840,81.0,18.0,10.0,1731,1952-02-01,4.4021739130434785,0.9782608695652175,0.5434782608695652
1952-03,6940,813.0,24.0,33.0,6070,1952-03-01,11.714697406340058,0.345821325648415,0.4755043227665706
1952-04,4697,570.0,8.0,13.0,4106,1952-04-01,12.135405578028529,0.17032148179689163,0.2767724079199489
1952-05,3418,113.0,27.0,8.0,3270,1952-05-01,3.3060269163253366,0.7899356348741955,0.23405500292568754
1952-06,5140,92.0,23.0,3.0,5022,1952-06-01,1.7898832684824901,0.44747081712062253,0.058365758754863814
1952-07,2826,97.0,12.0,12.0,2705,1952-07-01,3.4324133050247703,0.42462845010615713,0.42462845010615713
1952-08,11619,148.0,6.0,6.0,11459,1952-08-01,1.2737757121955418,0.05163955589981926,0.05163955589981926
1952-09,7031,343.0,21.0,9.0,6658,1952-09-01,4.878395676290713,0.29867728630351303,0.12800455127293414
1952-10,2289,142.0,16.0,11.0,2120,1952-10-01,6.203582350371342,0.6989951944080385,0.4805591961555264
1952-11,4864,508.0,41.0,42.0,4273,1952-11-01,10.444078947368421,0.8429276315789473,0.8634868421052633
1952-12,8353,444.0,31.0,13.0,7865,1952-12-01,5.315455524961092,0.3711241470130492,0.15563270681192387
1953-01,3505,544.0,4.0,16.0,2941,1953-01-01,15.520684736091297,0.11412268188302425,0.456490727532097
1953-02,3208,450.0,8.0,13.0,2737,1953-02-01,14.027431421446385,0.24937655860349126,0.40523690773067333
1953-03,7070,568.0,6.0,11.0,6485,1953-03-01,8.033946251768034,0.08486562942008487,0.15558698727015557
1953-04,10789,799.0,15.0,29.0,9946,1953-04-01,7.405690981555288,0.13903049402168877,0.2687922884419316
1953-05,2232,223.0,12.0,13.0,1984,1953-05-01,9.991039426523297,0.5376344086021506,0.5824372759856631
1953-06,4844,188.0,25.0,11.0,4620,1953-06-01,3.8810900082576385,0.5161023947151115,0.22708505367464907
1953-07,2960,169.0,33.0,11.0,2747,1953-07-01,5.70945945945946,1.114864864864865,0.37162162162162166
1953-08,1115,44.0,10.0,1.0,1060,1953-08-01,3.9461883408071747,0.8968609865470852,0.08968609865470852
1953-09,1216,204.0,18.0,10.0,984,1953-09-01,16.776315789473685,1.4802631578947367,0.8223684210526315
1953-10,4521,300.0,20.0,20.0,4181,1953-10-01,6.635700066357001,0.4423800044238001,0.4423800044238001
1953-11,4888,420.0,35.0,17.0,4416,1953-11-01,8.592471358428805,0.7160392798690671,0.34779050736497547
1953-12,2248,84.0,11.0,2.0,2151,1953-12-01,3.7366548042704624,0.4893238434163701,0.0889679715302491
1954-01,2157,150.0,22.0,12.0,1973,1954-01-01,6.954102920723226,1.0199350950394066,0.5563282336578581
1954-02,2781,476.0,17.0,25.0,2263,1954-02-01,17.116145271485077,0.6112909025530385,0.8989572096368214
1954-03,11012,997.0,13.0,24.0,9978,1954-03-01,9.05375953505267,0.11805303305484927,0.2179440610243371
1954-04,3721,347.0,3.0,13.0,3358,1954-04-01,9.325450147809729,0.08062348830959419,0.34936844934157485
1954-05,1223,30.0,9.0,3.0,1181,1954-05-01,2.4529844644317254,0.7358953393295176,0.24529844644317253
1954-06,1879,41.0,3.0,4.0,1831,1954-06-01,2.182011708355508,0.15965939329430548,0.21287919105907396
1954-07,2270,201.0,12.0,20.0,2037,1954-07-01,8.854625550660792,0.5286343612334802,0.881057268722467
1954-08,3203,344.0,20.0,21.0,2818,1954-08-01,10.739931314392757,0.6244146113019045,0.6556353418669997
1954-09,5337,496.0,32.0,35.0,4774,1954-09-01,9.293610642683154,0.5995877833989133,0.6557991380925614
1954-10,6365,1061.0,23.0,37.0,5244,1954-10-01,16.669285153181463,0.3613511390416339,0.5813040062843676
1954-11,4366,259.0,33.0,25.0,4049,1954-11-01,5.932203389830509,0.7558405863490609,0.5726065048098946
1954-12,6723,627.0,17.0,25.0,6054,1954-12-01,9.326193663543062,0.25286330507214044,0.3718578015766771
1955-01,4405,397.0,12.0,27.0,3969,1955-01-01,9.012485811577752,0.2724177071509648,0.6129398410896708
1955-02,4613,78.0,10.0,6.0,4519,1955-02-01,1.6908736180359853,0.21677866897897247,0.13006720138738348
1955-03,5173,286.0,15.0,20.0,4852,1955-03-01,5.528706746568722,0.2899671370578001,0.38662284941040015
1955-04,2999,382.0,14.0,21.0,2582,1955-04-01,12.737579193064356,0.46682227409136384,0.7002334111370457
1955-05,5853,924.0,22.0,47.0,4860,1955-05-01,15.786776012301384,0.3758756193405091,0.8030070049547242
1955-06,8639,1862.0,30.0,53.0,6694,1955-06-01,21.553420534784117,0.34726241463132307,0.6134969325153374
1955-07,12030,1582.0,24.0,61.0,10363,1955-07-01,13.15045719035744,0.199501246882793,0.5070656691604323
1955-08,2286,73.0,7.0,1.0,2205,1955-08-01,3.1933508311461063,0.30621172353455817,0.043744531933508315
1955-09,2920,407.0,8.0,13.0,2492,1955-09-01,13.938356164383562,0.273972602739726,0.4452054794520548
1955-10,5032,285.0,24.0,19.0,4704,1955-10-01,5.663751987281399,0.47694753577106513,0.37758346581875996
1955-11,5857,642.0,10.0,13.0,5192,1955-11-01,10.961242957145297,0.17073587160662457,0.22195663308861194
1955-12,4706,498.0,11.0,12.0,4185,1955-12-01,10.582235444113897,0.23374415639609009,0.254993625159371
