Assembly_Num,Speaker,직책,Party,지역,소속위원회,당선횟수,기술,소득,노동,이민,이주,외국인,발언횟수,총어절수,기술_회기수,소득_회기수,노동_회기수,이민_회기수,이주_회기수,외국인_회기수,기술_빈도_1만어절당,소득_빈도_1만어절당,노동_빈도_1만어절당,이민_빈도_1만어절당,이주_빈도_1만어절당,외국인_빈도_1만어절당
제2대,신익희,의원,민주국민당,전남 광주,"",3선,2,1,15,1,0,1,56,34015,10,11,14,2,0,4,0.59,0.29,4.41,0.29,0.0,0.29
제3대,최재유,보건사회부장관,"","","","",13,0,14,0,0,2,46,13977,7,0,4,0,0,2,9.3,0.0,10.02,0.0,0.0,1.43
제3대,이철승,의원,무소속,전북 전주,"",7선,10,6,14,0,0,0,214,117843,25,12,11,0,0,0,0.85,0.51,1.19,0.0,0.0,0.0
제4대,이창우,증인,"","","","",2,0,14,0,0,0,68,1368,1,0,1,0,0,0,14.62,0.0,102.34,0.0,0.0,0.0
제2대,곽의영,의원,무소속,충북 청원군을,"",3선,24,11,14,0,0,0,226,69914,11,6,5,0,0,0,3.43,1.57,2.0,0.0,0.0,0.0
제헌,박해정,의원,무소속,경북 경산,"",4선,7,2,14,0,0,1,154,23061,6,1,4,0,0,1,3.04,0.87,6.07,0.0,0.0,0.43
제3대,정명섭,의원,자유당,전남 나주군을,"",3선,37,0,13,0,0,0,47,28539,5,0,3,0,0,0,12.96,0.0,4.56,0.0,0.0,0.0
제3대,조병옥,의원,민주국민당,경북 대구시을,"",재선,8,16,13,0,0,0,181,93707,5,6,7,0,0,0,0.85,1.71,1.39,0.0,0.0,0.0
제헌,조헌영,의원,한국민주당,경북 영양,"",재선,25,1,13,0,8,3,477,128104,10,1,7,0,3,2,1.95,0.08,1.01,0.0,0.62,0.23
제4대,문종두,위원,무소속,경북 김천,"",재선,50,24,13,0,0,0,383,56508,9,3,1,0,0,0,8.85,4.25,2.3,0.0,0.0,0.0
제4대,"",재정경제위원장,"","","","",3,17,13,0,0,0,22,9664,138,25,25,10,3,18,3.1,17.59,13.45,0.0,0.0,0.0
제4대,정재설,농림부장관,"","","","",40,11,12,1,1,0,95,48684,12,4,3,1,1,0,8.22,2.26,2.46,0.21,0.21,0.0
제헌,조봉암,의원,무소속,경기 인천을,"",재선,0,0,12,0,0,3,42,12881,1,0,4,0,0,1,0.0,0.0,9.32,0.0,0.0,2.33
제3대,전진한,의원,무소속,경남 부산시을,"",5선,2,0,12,0,0,0,12,13544,2,0,3,0,0,0,1.48,0.0,8.86,0.0,0.0,0.0
제헌,윤재근,의원,무소속,경기 강화,"",4선,8,0,12,1,0,1,38,10558,3,0,3,1,0,1,7.58,0.0,11.37,0.95,0.0,0.95
제헌,김수선,의원,무소속,경남 울산을,"",재선,12,2,12,0,1,0,188,48659,5,2,4,0,1,0,2.47,0.41,2.47,0.0,0.21,0.0
제4대,조대훈,증인,"","","","",0,0,12,0,0,0,36,862,0,0,1,0,0,0,0.0,0.0,139.21,0.0,0.0,0.0
제4대,이생우,증인,"","","","",1,0,12,0,0,0,27,1816,1,0,1,0,0,0,5.51,0.0,66.08,0.0,0.0,0.0
제4대,김용후,증인,"","","","",2,0,12,0,1,0,66,2736,1,0,1,0,1,0,7.31,0.0,43.86,0.0,3.65,0.0
제3대,최갑환,의원,무소속,경남 고성,"",초선,19,1,12,0,0,0,62,27653,3,1,2,0,0,0,6.87,0.36,4.34,0.0,0.0,0.0
제헌,이범석,국무총리,"","","","",19,4,11,0,0,0,61,34934,8,3,4,0,1,0,5.44,1.15,3.15,0.0,0.0,0.0
제3대,민관식,위원,무소속,서울 동대문구,"",5선,6,4,11,0,0,0,98,19452,6,6,3,1,0,0,3.08,2.06,5.65,0.0,0.0,0.0
제3대,정해영,의원,자유당,경남 울산군을,"",7선,0,6,11,0,0,3,20,19809,0,3,6,0,0,1,0.0,3.03,5.55,0.0,0.0,1.51
제3대,조영규,의원,민주국민당,전남 영광군,"",4선,27,20,11,2,0,8,631,161532,12,9,6,2,0,5,1.67,1.24,0.68,0.12,0.0,0.5
제4대,진형하,의원,민주당,충남 대전을,"",3선,0,0,11,0,0,0,8,5378,2,0,1,0,0,1,0.0,0.0,20.45,0.0,0.0,0.0
제3대,손권배,의원,자유당,전북 완주을,"",초선,0,0,11,0,0,0,8,7605,0,0,1,0,0,0,0.0,0.0,14.46,0.0,0.0,0.0
제4대,이근직,농림부장관,"","","","",40,61,11,5,1,1,117,59287,10,7,4,1,1,1,6.75,10.29,1.86,0.84,0.17,0.17
제4대,송인상,부흥부장관,"","","","",134,50,11,0,0,0,157,82825,37,32,17,1,0,5,16.18,6.04,1.33,0.0,0.0,0.0
제헌,김준연,의원,한국민주당,전남 영암,"",5선,0,0,11,0,0,0,161,29407,0,0,1,0,0,0,0.0,0.0,3.74,0.0,0.0,0.0
제4대,정준,의원,무소속,경기 김포군,"",4선,1,0,10,0,0,0,64,28855,2,1,4,0,0,0,0.35,0.0,3.47,0.0,0.0,0.0
제헌,서상일,의원,한국민주당,경북 대구을,"",재선,14,0,10,0,4,1,269,31618,6,1,6,1,5,1,4.43,0.0,3.16,0.0,1.27,0.32
제헌,박순석,의원,무소속,경북 영일갑,"",3선,8,1,10,0,1,0,305,35959,5,1,3,0,1,0,2.22,0.28,2.78,0.0,0.28,0.0
제헌,김영동,의원,무소속,전북 고창갑,"",초선,11,0,10,0,0,0,133,8557,3,0,3,0,0,0,12.85,0.0,11.69,0.0,0.0,0.0
제4대,김동욱,위원,민주당,"경남 부산시,서구을","",3선,8,40,10,0,0,0,102,52841,6,11,4,0,0,0,1.51,7.57,1.89,0.0,0.0,0.0
제2대,박영출,의원,대한국민당,경북 의성갑,"",재선,20,3,10,0,0,0,180,37207,8,3,4,1,0,3,5.38,0.81,2.69,0.0,0.0,0.0
제2대,소선규,의원,민주국민당,전북 익산갑,"",4선,2,24,10,1,0,0,210,72752,2,7,4,1,0,1,0.27,3.3,1.37,0.14,0.0,0.0
제4대,김재곤,위원,민주당,경기 인천시갑,"",3선,7,3,10,0,0,0,215,40689,3,2,1,0,0,0,1.72,0.74,2.46,0.0,0.0,0.0
제4대,이사형,위원,무소속,전남 나주갑,"",초선,3,0,10,0,0,1,60,6616,3,0,1,0,0,1,4.53,0.0,15.11,0.0,0.0,1.51
제헌,이정래,의원,한국민주당,전남 보성,"",3선,6,1,10,0,1,0,345,53662,4,1,2,0,1,0,1.12,0.19,1.86,0.0,0.19,0.0
제헌,이영준,문교사회위원장,한국민주당,서울 동대문구을,"",4선,44,0,10,0,0,1,176,18653,9,0,6,0,1,1,23.59,0.0,5.36,0.0,0.0,0.54
제3대,조경규,부의장,자유당,경남 함안군,"",3선,86,15,10,0,0,7,6671,372369,9,4,7,0,0,4,2.31,0.4,0.27,0.0,0.0,0.19
제2대,안용대,의원,무소속,경북 경주갑,"",재선,3,5,10,0,6,0,92,30820,1,1,5,0,1,0,0.97,1.62,3.24,0.0,1.95,0.0
제2대,임영신,의원,대한국민당,충남 금산,"",재선,3,0,10,0,0,2,82,24235,1,0,2,0,0,2,1.24,0.0,4.13,0.0,0.0,0.83
제2대,이종현,의원,무소속,서울 마포구을,"",초선,9,3,10,0,0,0,122,35302,4,1,5,0,0,0,2.55,0.85,2.83,0.0,0.0,0.0
제헌,노일환,의원,한국민주당,전북 순창,"",초선,4,0,10,0,0,2,235,39358,3,0,5,0,0,2,1.02,0.0,2.54,0.0,0.0,0.51
제4대,박찬현,위원,민주당,"경남 부산시,진구을","",4선,2,9,10,0,0,0,50,15659,4,3,2,0,0,0,1.28,5.75,6.39,0.0,0.0,0.0
제헌,전진항,의원,"","","","",0,0,9,0,0,0,1,545,0,0,1,0,0,0,0.0,0.0,165.14,0.0,0.0,0.0
제4대,김선태,위원,민주당,전남 완도군,"",3선,12,0,9,0,0,0,648,58680,11,0,3,0,0,0,2.04,0.0,1.53,0.0,0.0,0.0
제4대,유상근,내무부통계국장,"","","","",0,0,9,0,0,0,8,2542,0,0,1,0,0,0,0.0,0.0,35.41,0.0,0.0,0.0
제4대,박해정,의원,민주당,경북 경산,"",4선,5,18,9,0,0,0,42,26503,4,6,2,0,0,0,1.89,6.79,3.4,0.0,0.0,0.0
제헌,신익희,의장,대한독립촉성국민회,전남 광주,"",3선,145,219,9,0,17,12,3875,257725,9,4,4,0,12,5,5.63,8.5,0.35,0.0,0.66,0.47
제3대,박해정,의원,무소속,경북 경산,"",4선,12,8,9,0,0,0,103,54500,4,5,6,0,0,0,2.2,1.47,1.65,0.0,0.0,0.0
제2대,김훈,상공부장관,"","","","",27,0,9,0,0,0,20,14492,6,0,1,0,0,0,18.63,0.0,6.21,0.0,0.0,0.0
제4대,유성권,위원,민주당,서울 성동구갑,"",3선,5,0,9,1,0,0,199,8744,5,0,2,1,0,0,5.72,0.0,10.29,1.14,0.0,0.0
