정당,Family,Month,Count
대한국민당,기술,1951-12,11
대한국민당,기술,1952-01,1
대한국민당,기술,1952-02,4
대한국민당,기술,1952-03,6
대한국민당,기술,1952-04,4
대한국민당,기술,1952-05,6
대한국민당,기술,1952-06,3
대한국민당,기술,1952-07,4
대한국민당,기술,1952-08,3
대한국민당,기술,1952-09,20
대한국민당,기술,1952-10,6
대한국민당,기술,1952-11,4
대한국민당,기술,1952-12,3
대한국민당,기술,1953-01,8
대한국민당,기술,1953-02,5
대한국민당,기술,1953-03,8
대한국민당,기술,1953-04,22
대한국민당,기술,1953-05,10
대한국민당,기술,1953-06,18
대한국민당,기술,1953-07,13
대한국민당,기술,1953-08,2
대한국민당,기술,1953-09,7
대한국민당,기술,1953-10,3
대한국민당,기술,1953-11,19
대한국민당,기술,1953-12,0
대한국민당,기술,1954-01,3
대한국민당,기술,1954-02,6
대한국민당,기술,1954-03,22
대한국민당,기술,1954-04,1
대한국민당,기술,1954-05,0
대한국민당,기술,1954-06,0
대한국민당,기술,1954-07,0
대한국민당,기술,1954-08,0
대한국민당,기술,1954-09,0
대한국민당,기술,1954-10,0
대한국민당,기술,1954-11,0
대한국민당,기술,1954-12,0
대한국민당,기술,1955-01,0
대한국민당,기술,1955-02,0
대한국민당,기술,1955-03,0
대한국민당,기술,1955-04,0
대한국민당,기술,1955-05,0
대한국민당,기술,1955-06,0
대한국민당,기술,1955-07,0
대한국민당,기술,1955-08,0
대한국민당,기술,1955-09,0
대한국민당,기술,1955-10,0
대한국민당,기술,1955-11,0
대한국민당,기술,1955-12,0
대한국민당,기술,1956-01,0
대한국민당,기술,1956-02,0
대한국민당,기술,1956-03,0
대한국민당,기술,1956-04,0
대한국민당,기술,1956-05,0
대한국민당,기술,1956-06,0
대한국민당,기술,1956-07,0
대한국민당,기술,1956-08,0
대한국민당,기술,1956-09,0
대한국민당,기술,1956-10,0
대한국민당,기술,1956-11,0
대한국민당,기술,1956-12,0
대한국민당,기술,1957-01,0
대한국민당,기술,1957-02,0
대한국민당,기술,1957-03,0
대한국민당,기술,1957-04,0
대한국민당,기술,1957-05,0
대한국민당,기술,1957-06,0
대한국민당,기술,1957-07,0
대한국민당,기술,1957-08,0
대한국민당,기술,1957-09,0
대한국민당,기술,1957-10,0
대한국민당,기술,1957-11,0
대한국민당,기술,1957-12,0
대한국민당,기술,1958-01,0
대한국민당,기술,1958-02,0
대한국민당,기술,1958-03,0
대한국민당,기술,1958-04,0
대한국민당,기술,1958-05,0
대한국민당,기술,1958-06,0
대한국민당,기술,1958-07,0
대한국민당,기술,1958-08,0
대한국민당,기술,1958-09,0
대한국민당,기술,1958-10,0
대한국민당,기술,1958-11,0
대한국민당,기술,1958-12,0
대한국민당,기술,1959-01,0
대한국민당,기술,1959-02,0
대한국민당,기술,1959-03,0
대한국민당,기술,1959-04,0
대한국민당,기술,1959-05,0
대한국민당,기술,1959-06,0
대한국민당,기술,1959-07,0
대한국민당,기술,1959-09,0
대한국민당,기술,1959-10,0
대한국민당,기술,1959-11,0
대한국민당,기술,1959-12,0
대한국민당,기술,1960-01,0
대한국민당,기술,1960-02,0
대한국민당,기술,1960-03,0
대한국민당,기술,1960-04,0
대한독립촉성국민회,기술,1948-06,12
대한독립촉성국민회,기술,1948-07,22
대한독립촉성국민회,기술,1948-08,9
대한독립촉성국민회,기술,1948-09,34
대한독립촉성국민회,기술,1948-10,6
대한독립촉성국민회,기술,1948-11,6
대한독립촉성국민회,기술,1948-12,12
대한독립촉성국민회,기술,1949-01,7
대한독립촉성국민회,기술,1949-02,10
대한독립촉성국민회,기술,1949-03,23
대한독립촉성국민회,기술,1949-04,24
대한독립촉성국민회,기술,1949-05,5
대한독립촉성국민회,기술,1949-06,2
대한독립촉성국민회,기술,1949-07,18
대한독립촉성국민회,기술,1949-08,1
대한독립촉성국민회,기술,1949-09,13
대한독립촉성국민회,기술,1949-10,9
대한독립촉성국민회,기술,1949-11,47
대한독립촉성국민회,기술,1949-12,17
대한독립촉성국민회,기술,1950-01,48
대한독립촉성국민회,기술,1950-02,19
대한독립촉성국민회,기술,1950-03,10
대한독립촉성국민회,기술,1950-04,11
대한독립촉성국민회,기술,1950-06,2
대한독립촉성국민회,기술,1950-10,0
대한독립촉성국민회,기술,1950-11,3
대한독립촉성국민회,기술,1950-12,0
대한독립촉성국민회,기술,1951-01,0
대한독립촉성국민회,기술,1951-02,0
대한독립촉성국민회,기술,1951-03,0
대한독립촉성국민회,기술,1951-04,1
대한독립촉성국민회,기술,1951-05,0
대한독립촉성국민회,기술,1951-06,1
대한독립촉성국민회,기술,1951-07,1
대한독립촉성국민회,기술,1951-08,0
대한독립촉성국민회,기술,1951-09,0
대한독립촉성국민회,기술,1951-10,0
대한독립촉성국민회,기술,1951-11,3
대한독립촉성국민회,기술,1951-12,0
대한독립촉성국민회,기술,1952-01,0
대한독립촉성국민회,기술,1952-02,0
대한독립촉성국민회,기술,1952-03,0
대한독립촉성국민회,기술,1952-04,1
대한독립촉성국민회,기술,1952-05,0
대한독립촉성국민회,기술,1952-06,0
대한독립촉성국민회,기술,1952-07,0
대한독립촉성국민회,기술,1952-08,0
대한독립촉성국민회,기술,1952-09,2
대한독립촉성국민회,기술,1952-10,0
대한독립촉성국민회,기술,1952-11,5
대한독립촉성국민회,기술,1952-12,2
대한독립촉성국민회,기술,1953-01,0
대한독립촉성국민회,기술,1953-02,0
대한독립촉성국민회,기술,1953-03,3
대한독립촉성국민회,기술,1953-04,4
대한독립촉성국민회,기술,1953-05,0
대한독립촉성국민회,기술,1953-06,1
대한독립촉성국민회,기술,1953-07,2
대한독립촉성국민회,기술,1953-08,0
대한독립촉성국민회,기술,1953-09,0
대한독립촉성국민회,기술,1953-10,0
대한독립촉성국민회,기술,1953-11,1
대한독립촉성국민회,기술,1953-12,1
대한독립촉성국민회,기술,1954-01,0
대한독립촉성국민회,기술,1954-02,0
대한독립촉성국민회,기술,1954-03,1
대한독립촉성국민회,기술,1954-04,0
대한독립촉성국민회,기술,1954-05,0
대한독립촉성국민회,기술,1954-06,0
대한독립촉성국민회,기술,1954-07,0
대한독립촉성국민회,기술,1954-08,0
대한독립촉성국민회,기술,1954-09,0
대한독립촉성국민회,기술,1954-10,0
대한독립촉성국민회,기술,1954-11,0
대한독립촉성국민회,기술,1954-12,0
대한독립촉성국민회,기술,1955-01,0
대한독립촉성국민회,기술,1955-02,0
대한독립촉성국민회,기술,1955-03,0
대한독립촉성국민회,기술,1955-04,0
대한독립촉성국민회,기술,1955-05,0
대한독립촉성국민회,기술,1955-06,0
대한독립촉성국민회,기술,1955-07,0
대한독립촉성국민회,기술,1955-08,0
대한독립촉성국민회,기술,1955-09,0
대한독립촉성국민회,기술,1955-10,0
대한독립촉성국민회,기술,1955-11,0
대한독립촉성국민회,기술,1955-12,0
대한독립촉성국민회,기술,1956-01,0
대한독립촉성국민회,기술,1956-02,0
대한독립촉성국민회,기술,1956-03,0
대한독립촉성국민회,기술,1956-04,0
대한독립촉성국민회,기술,1956-05,0
대한독립촉성국민회,기술,1956-06,0
대한독립촉성국민회,기술,1956-07,0
대한독립촉성국민회,기술,1956-08,0
대한독립촉성국민회,기술,1956-09,0
대한독립촉성국민회,기술,1956-10,0
대한독립촉성국민회,기술,1956-11,0
대한독립촉성국민회,기술,1956-12,0
대한독립촉성국민회,기술,1957-01,0
대한독립촉성국민회,기술,1957-02,0
대한독립촉성국민회,기술,1957-03,0
대한독립촉성국민회,기술,1957-04,0
대한독립촉성국민회,기술,1957-05,0
대한독립촉성국민회,기술,1957-06,0
대한독립촉성국민회,기술,1957-07,0
대한독립촉성국민회,기술,1957-08,0
대한독립촉성국민회,기술,1957-09,0
대한독립촉성국민회,기술,1957-10,0
대한독립촉성국민회,기술,1957-11,0
대한독립촉성국민회,기술,1957-12,0
대한독립촉성국민회,기술,1958-01,0
대한독립촉성국민회,기술,1958-02,0
대한독립촉성국민회,기술,1958-03,0
대한독립촉성국민회,기술,1958-04,0
대한독립촉성국민회,기술,1958-05,0
대한독립촉성국민회,기술,1958-06,0
대한독립촉성국민회,기술,1958-07,0
대한독립촉성국민회,기술,1958-08,0
대한독립촉성국민회,기술,1958-09,0
대한독립촉성국민회,기술,1958-10,0
대한독립촉성국민회,기술,1958-11,0
대한독립촉성국민회,기술,1958-12,0
대한독립촉성국민회,기술,1959-01,0
대한독립촉성국민회,기술,1959-02,0
대한독립촉성국민회,기술,1959-03,0
대한독립촉성국민회,기술,1959-04,0
대한독립촉성국민회,기술,1959-05,0
대한독립촉성국민회,기술,1959-06,0
대한독립촉성국민회,기술,1959-07,0
대한독립촉성국민회,기술,1959-09,0
대한독립촉성국민회,기술,1959-10,0
대한독립촉성국민회,기술,1959-11,0
대한독립촉성국민회,기술,1959-12,0
대한독립촉성국민회,기술,1960-01,0
대한독립촉성국민회,기술,1960-02,0
대한독립촉성국민회,기술,1960-03,0
대한독립촉성국민회,기술,1960-04,0
민주국민당,기술,1948-06,0
민주국민당,기술,1948-07,0
민주국민당,기술,1948-08,0
민주국민당,기술,1948-09,0
민주국민당,기술,1948-10,0
민주국민당,기술,1948-11,0
민주국민당,기술,1948-12,0
민주국민당,기술,1949-01,0
민주국민당,기술,1949-02,0
민주국민당,기술,1949-03,0
민주국민당,기술,1949-04,0
민주국민당,기술,1949-05,0
민주국민당,기술,1949-06,0
민주국민당,기술,1949-07,0
민주국민당,기술,1949-08,0
민주국민당,기술,1949-09,0
민주국민당,기술,1949-10,0
민주국민당,기술,1949-11,2
민주국민당,기술,1949-12,0
민주국민당,기술,1950-01,0
민주국민당,기술,1950-02,0
민주국민당,기술,1950-03,1
민주국민당,기술,1950-04,0
민주국민당,기술,1950-06,0
민주국민당,기술,1950-10,0
민주국민당,기술,1950-11,10
민주국민당,기술,1950-12,3
민주국민당,기술,1951-01,6
민주국민당,기술,1951-02,3
민주국민당,기술,1951-03,7
민주국민당,기술,1951-04,6
민주국민당,기술,1951-05,5
민주국민당,기술,1951-06,5
민주국민당,기술,1951-07,4
민주국민당,기술,1951-08,5
민주국민당,기술,1951-09,10
민주국민당,기술,1951-10,1
민주국민당,기술,1951-11,5
민주국민당,기술,1951-12,6
민주국민당,기술,1952-01,1
민주국민당,기술,1952-02,0
민주국민당,기술,1952-03,3
민주국민당,기술,1952-04,2
민주국민당,기술,1952-05,6
민주국민당,기술,1952-06,0
민주국민당,기술,1952-07,1
민주국민당,기술,1952-08,0
민주국민당,기술,1952-09,9
민주국민당,기술,1952-10,2
민주국민당,기술,1952-11,20
민주국민당,기술,1952-12,5
민주국민당,기술,1953-01,4
민주국민당,기술,1953-02,5
