번호,대수,의원명,정당,소속위원회,지역,성별,당선횟수,당선방법
175,제4대,장석윤,자유당,,강원 횡성,남,재선,지역구
176,제4대,장택상,무소속,,경북 칠곡군,남,4선,지역구
177,제4대,전만중,자유당,,경북 울진,남,재선,지역구
178,제4대,전영석,민주당,,충남 서산갑,남,초선,지역구
179,제4대,전형산,자유당,,강원 인제군,남,재선,지역구
180,제4대,정규상,자유당,,강원 영월,남,재선,지역구
181,제4대,정낙훈,자유당,,충남 대전갑,남,초선,지역구
182,제4대,정남택,자유당,,경북 고령,남,초선,지역구
183,제4대,정대천,자유당,,경기 파주,남,재선,지역구
184,제4대,정명섭,자유당,,전남 나주군을,남,3선,지역구
185,제4대,정문흠,자유당,,경북 봉화군,남,3선,지역구
186,제4대,정상희,자유당,,충북 중원군,남,재선,지역구
187,제4대,정성태,민주당,,전남 광주갑,남,6선,지역구
188,제4대,정세환,무소속,,전북 고창갑,남,재선,지역구
189,제4대,정운갑,자유당,,충북 진천군,남,5선,지역구
190,제4대,정일형,민주당,,서울 중구을,남,8선,지역구
191,제4대,정재완,민주당,,전남 여수,남,4선,지역구
192,제4대,정재원,자유당,,경북 예천,남,초선,지역구
193,제4대,정존수,자유당,,경기 평택군,남,재선,지역구
194,제4대,정준,무소속,,경기 김포군,남,4선,지역구
195,제4대,정준모,자유당,,전북 장수,남,재선,지역구
196,제4대,정중섭,민주당,,전남 목포,남,재선,지역구
197,제4대,정헌주,민주당,,경남 사천군,남,5선,지역구
198,제4대,조경규,자유당,,경남 함안군,남,3선,지역구
199,제4대,조광희,자유당,,경북 상주갑,남,초선,지역구
200,제4대,조병옥,민주당,,서울 성동구을,남,재선,지역구
201,제4대,조순,자유당,,전남 곡성군,남,3선,지역구
202,제4대,조영규,민주당,,전남 영광군,남,4선,지역구
203,제4대,조일재,민주당,,경남 동래군,남,재선,지역구
204,제4대,조일환,민주당,,경북 대구시무,남,4선,지역구
205,제4대,조재천,민주당,,경북 대구시정,남,4선,지역구
206,제4대,조정훈,민주당,,전북 남원군갑,남,재선,지역구
207,제4대,조종호,무소속,,충북 단양군,남,4선,지역구
208,제4대,조한백,민주당,,전북 김제군갑,남,4선,지역구
209,제4대,주금용,무소속,,경남 진해,남,초선,지역구
210,제4대,주병환,민주당,,경북 성주군,남,재선,지역구
211,제4대,주요한,민주당,,서울 중구갑,남,재선,지역구
212,제4대,지영진,자유당,,경남 양산군,남,재선,지역구
213,제4대,진석중,자유당,,경남 거제,남,초선,지역구
214,제4대,진형하,민주당,,충남 대전을,남,3선,지역구
215,제4대,최규남,자유당,,서울 서대문구을,남,초선,지역구
216,제4대,최규옥,자유당,,강원 양구,남,재선,지역구
217,제4대,최병권,자유당,,경북 울릉,남,재선,지역구
218,제4대,최석림,무소속,,경남 고성군,남,4선,지역구
219,제4대,최용근,자유당,,강원 강릉,남,재선,지역구
220,제4대,최인규,자유당,,경기 광주,남,초선,지역구
221,제4대,최창섭,자유당,,경남 합천군을,남,3선,지역구
222,제4대,최천,민주당,,경남 충무,남,3선,지역구
223,제4대,최희송,민주당,,경북 대구시을,남,4선,지역구
224,제4대,하태환,자유당,,경북 포항,남,재선,지역구
225,제4대,한광석,자유당,,충남 부여군갑,남,재선,지역구
226,제4대,한근조,민주당,,서울 종로구을,남,3선,지역구
227,제4대,한희석,자유당,,충남 천안갑,남,재선,지역구
228,제4대,허윤수,민주당,,경남 마산,남,초선,지역구
229,제4대,현오봉,무소속,,제주 남제주군,남,6선,지역구
230,제4대,홍길선,민주당,,경기 수원,남,4선,지역구
231,제4대,홍범희,자유당,,강원 원성,남,재선,지역구
232,제4대,홍병각,자유당,,충북 충주,남,초선,지역구
233,제4대,홍봉진,민주당,,경기 화성을,남,초선,지역구
234,제4대,홍순희,민주당,,전북 고창을,남,초선,지역구
235,제4대,홍승업,자유당,,강원 고성,남,초선,지역구
236,제4대,홍익표,민주당,,경기 가평군,남,6선,지역구
237,제4대,황성수,자유당,,전남 보성군,남,4선,지역구
238,제4대,황숙현,자유당,,전남 광양,남,초선,지역구
239,제4대,황호현,무소속,,강원 평창군,남,3선,지역구
