번호,대수,의원명,정당,소속위원회,지역,성별,당선횟수,당선방법
97,제헌,연병호,무소속,,충북 괴산,남,재선,지역구
98,제헌,오기열,무소속,,전북 진안,남,초선,지역구
99,제헌,오석주,대한독립촉성국민회,,전남 고흥갑,남,초선,지역구
100,제헌,오용국,무소속,,제주 남제주,남,초선,지역구
101,제헌,오택관,한국독립당,,경기 옹진갑,남,초선,지역구
102,제헌,오택열,대한독립촉성국민회,,경북 영덕,남,초선,지역구
103,제헌,원용균,대한독립촉성국민회,,강원 횡성,남,초선,지역구
104,제헌,원용한,대동청년당,,경기 여주,남,초선,지역구
105,제헌,원장길,대동청년당,,강원 강릉갑,남,초선,지역구
106,제헌,유래완,무소속,,경기 양평,남,초선,지역구
107,제헌,유성갑,단민당,,전남 고흥을,남,초선,지역구
108,제헌,유준상,대한독립촉성국민회,,전북 완주갑,남,초선,지역구
109,제헌,유진홍,대한독립촉성국민회,,충남 논산갑,남,초선,지역구
110,제헌,유홍열,무소속,,충북 제천,남,초선,지역구
111,제헌,육홍균,대한독립촉성국민회,,경북 선산,남,재선,지역구
112,제헌,윤병구,무소속,,충남 예산,남,재선,지역구
113,제헌,윤석구,무소속,,전북 군산,남,초선,지역구
114,제헌,윤재근,무소속,,경기 강화,남,4선,지역구
115,제헌,윤재욱,대동청년당,,서울 영등포구,남,재선,지역구
116,제헌,윤치영,한국민주당,,서울 중구,남,4선,지역구
117,제헌,이강우,무소속,,경남 진주,남,초선,지역구
118,제헌,이귀수,무소속,,경남 고성,남,초선,지역구
119,제헌,이남규,대한독립촉성국민회,,전남 목포,남,재선,지역구
120,제헌,이만근,무소속,,충북 청원을,남,초선,지역구
121,제헌,이문원,무소속,,전북 익산을,남,초선,지역구
122,제헌,이범교,대한독립촉성국민회,,경북 영천을,남,초선,지역구
123,제헌,이병관,무소속,,경북 김천을,남,초선,지역구
124,제헌,이병국,대한독립촉성국민회,,충남 천안,남,초선,지역구
125,제헌,이상돈,민주국민당,,충남 천안,남,3선,지역구
126,제헌,이석,대한독립촉성국민회,,경북 경주을,남,초선,지역구
